id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
316427,LETL,medium_airport,"Teruel Airport",40.410269,-1.217366,3380,EU,Spain,ES,Aragón,ES-AR,AR,Teruel,0,LETL,TEV,,http://www.aeropuertodeteruel.com/en/,https://en.wikipedia.org/wiki/Teruel_Airport,,250,2022-09-09T21:19:59+00:00
4006,LECD,small_airport,"La Cerdanya Airfield",42.386398,1.86667,3586,EU,Spain,ES,Catalonia,ES-CT,CT,Alp,0,LECD,,,,https://en.wikipedia.org/wiki/La_Cerdanya_Aerodrome,,50,2024-05-16T09:54:25+00:00
29842,GCLB,small_airport,"El Berriel Aeroc Airport",27.782499,-15.5072,20,AF,Spain,ES,"Canary Islands",ES-CN,CN,"Gran Canaria Island",0,GCLB,,,https://www.gclb.info/,https://es.wikipedia.org/wiki/Aer%C3%B3dromo_Maspalomas_-_El_Berriel,,50,2024-05-16T09:48:55+00:00
43294,LERE,small_airport,"Aeródromo Requena El Rebollar",39.474701,-1.03444,2340,EU,Spain,ES,"Valencia (community)",ES-VC,VC,Requena,0,LERE,,,http://www.flyrequena.com/index.htm,https://es.wikipedia.org/wiki/Aer%C3%B3dromo_de_Requena,,50,2024-05-16T10:09:23+00:00
300859,LECH,medium_airport,"Castellón-Costa Azahar Airport",40.213889,0.073333,1182,EU,Spain,ES,"Valencia (community)",ES-VC,VC,"Castellón de la Plana",1,LECH,CDT,,https://www.aeroportcastello.com/,https://en.wikipedia.org/wiki/Castell%C3%B3n%E2%80%93Costa_Azahar_Airport,,500,2020-10-15T19:10:30+00:00
3078,GCGM,small_airport,"La Gomera Airport",28.0296,-17.2146,716,AF,Spain,ES,"Canary Islands",ES-CN,CN,"Alajero, La Gomera Island",1,GCGM,GMZ,,https://www.aena.es/en/la-gomera.html,https://en.wikipedia.org/wiki/La_Gomera_Airport,,150,2022-11-01T17:28:20+00:00
30168,LEMU,small_airport,"Muchamiel Airfield",38.440601,-0.475278,427,EU,Spain,ES,"Valencia (community)",ES-VC,VC,Muchamiel,0,LEMU,,,http://www.aerodromodemutxamel.es/,https://es.wikipedia.org/wiki/Aer%C3%B3dromo_de_Muchamiel,,50,2022-05-09T08:13:18+00:00
4024,LEOC,small_airport,"Ocaña Airfield",39.9375,-3.50333,2405,EU,Spain,ES,"Castilla–La Mancha",ES-CM,CM,Ocaña,0,LEOC,,,,https://es.wikipedia.org/wiki/Aer%C3%B3dromo_de_Oca%C3%B1a,,50,2024-05-16T10:06:53+00:00
3996,LEAB,medium_airport,"Albacete Airport / Los Llanos Air Base",38.948502,-1.86352,2302,EU,Spain,ES,"Castilla–La Mancha",ES-CM,CM,Albacete,0,LEAB,ABC,,https://www.aena.es/en/albacete.html,https://en.wikipedia.org/wiki/Albacete_Airport,,750,2021-10-07T11:03:39+00:00
3079,GCHI,medium_airport,"El Hierro Airport",27.8148,-17.8871,103,AF,Spain,ES,"Canary Islands",ES-CN,CN,"El Hierro Island",1,GCHI,VDE,,https://www.aena.es/en/el-hierro.html,https://en.wikipedia.org/wiki/El_Hierro_Airport,"Hierro,El Hierro",750,2022-11-01T17:28:48+00:00
3093,GEML,medium_airport,"Melilla Airport",35.2798,-2.95626,156,AF,Spain,ES,"Melilla (city)",ES-ML,ML,Melilla,1,GEML,MLN,,https://www.aena.es/en/melilla.html,https://en.wikipedia.org/wiki/Melilla_Airport,,750,2022-11-01T17:32:57+00:00
30083,LELO,medium_airport,"Logroño-Agoncillo Airport",42.460953,-2.322235,1161,EU,Spain,ES,"La Rioja",ES-RI,RI,Logroño,0,LERJ,RJL,,https://www.aena.es/en/logrono-agoncillo.html,https://en.wikipedia.org/wiki/Logro%C3%B1o%E2%80%93Agoncillo_Airport,LELO,450,2021-10-07T11:21:09+00:00
320512,ES-0069,small_airport,"Air Marugán",40.9111,-4.370917,3068,EU,Spain,ES,"Castilla y León",ES-CL,CL,Marugán,0,LEIR,,,,,,50,2020-04-03T04:26:10+00:00
4036,LESL,small_airport,"Sant Lluis Airfield",39.861878,4.251739,197,EU,Spain,ES,"Islas Baleares",ES-IB,IB,"Sant Lluis",0,LESL,,,,https://en.wikipedia.org/wiki/San_Luis_Aerodrome,"San Luis",50,2022-09-09T19:31:31+00:00
43277,LEJU,small_airport,"La Juliana Airfield",37.294998,-6.1625,148,EU,Spain,ES,Andalucía,ES-AN,AN,Sevilla,0,LEJU,,,https://www.aerodromolajuliana.es/index.php,https://de.wikipedia.org/wiki/Aer%C3%B3dromo_La_Juliana,,50,2024-05-17T04:02:03+00:00
45168,ES-0001,small_airport,"Trebujena Airfield",36.858889,-6.139167,12,EU,Spain,ES,Andalucía,ES-AN,AN,Trebujena,0,LETJ,,,http://www.aerodromodetrebujena.com/,,,50,2024-05-17T04:29:37+00:00
4005,LEBZ,medium_airport,"Badajoz Airport",38.8913,-6.82133,609,EU,Spain,ES,Extremadura,ES-EX,EX,Badajoz,1,LEBZ,BJZ,,https://www.aena.es/en/badajoz.html,https://en.wikipedia.org/wiki/Badajoz_Airport,"Talavera La Real Airport",750,2021-10-07T11:07:21+00:00
4018,LELN,medium_airport,"León Airport",42.589001,-5.65556,3006,EU,Spain,ES,"Castilla y León",ES-CL,CL,León,1,LELN,LEN,,https://www.aena.es/en/leon.html,https://en.wikipedia.org/wiki/Le%C3%B3n_Airport,,500,2021-10-07T11:20:47+00:00
4027,LERI,medium_airport,"Alcantarilla Air Base",37.951099,-1.23032,250,EU,Spain,ES,"Murcia (region)",ES-MC,MC,Alcantarilla,0,LERI,,,,https://es.wikipedia.org/wiki/Base_A%C3%A9rea_de_Alcantarilla,,250,2024-05-16T10:10:22+00:00
43304,LETF,small_airport,"Tomás Fernández Espada Airfield",36.871793,-5.648775,328,EU,Spain,ES,Andalucía,ES-AN,AN,Villamartin,1,LETF,,,http://www.fly-pedro.com/en/ad.html,https://es.wikipedia.org/wiki/Aer%C3%B3dromo_de_Tom%C3%A1s_Fern%C3%A1ndez_Espada,,100,2024-05-16T10:14:06+00:00
43233,LELH,small_airport,"Alhama De Murcia Airfield",37.748901,-1.30216,669,EU,Spain,ES,"Murcia (region)",ES-MC,MC,Cánovas,0,LELH,,,,,,50,2022-08-06T04:34:52+00:00
518334,LEDE,small_airport,"[Duplicate] Aerodel",37.836632,-4.896426,307,EU,Spain,ES,Andalucía,ES-AN,AN,Cordoba,0,LEDE,,LEDE,https://www.aeronauticadelgado.com/web/aerodromo/,,Aerodel,50,2024-01-05T04:11:52+00:00
43279,LELT,small_airport,"Lillo Airfield",39.7169,-3.32056,2272,EU,Spain,ES,"Castilla–La Mancha",ES-CM,CM,Lillo,0,LELT,,,,https://es.wikipedia.org/wiki/Aer%C3%B3dromo_de_Lillo,,50,2024-05-16T10:04:17+00:00
30054,LEAX,small_airport,"La Axarquía-Leoni Benabu Airfield",36.801666,-4.135556,118,EU,Spain,ES,Andalucía,ES-AN,AN,Málaga,0,LEAX,,,,https://es.wikipedia.org/wiki/Aer%C3%B3dromo_de_La_Axarqu%C3%ADa,,50,2024-05-16T09:51:56+00:00
4023,LEMR,small_airport,"La Morgal Airfield",43.429199,-5.83056,541,EU,Spain,ES,Asturias,ES-AS,AS,Oviedo,0,LEMR,,,http://www.aeroclubllanera.com/,http://es.wikipedia.org/wiki/Aer%C3%B3dromo_de_La_Morgal,,50,2023-10-02T06:28:40+00:00
34924,LEMX,small_airport,"La Mancha-Toledo Airfield",39.562099,-3.25075,2195,EU,Spain,ES,"Castilla–La Mancha",ES-CM,CM,Toledo,0,LEMX,,,,,,50,2024-04-15T12:20:38+00:00
43245,LEMT,small_airport,"Casarrubios Del Monte Airfield",40.235001,-4.02639,2050,EU,Spain,ES,"Castilla–La Mancha",ES-CM,CM,Toledo,0,LEMT,,,,https://en.wikipedia.org/wiki/Aerodrome_of_Casarrubios_del_Monte,,50,2024-05-16T10:06:09+00:00
35151,GECE,heliport,"Ceuta Heliport",35.892657,-5.306321,8,AF,Spain,ES,"Ceuta (city)",ES-CE,CE,Ceuta,1,GECE,JCU,,https://www.aena.es/en/ceuta.html,https://en.wikipedia.org/wiki/Ceuta_Heliport,GECT,625,2022-11-01T17:25:27+00:00
4012,LEGT,medium_airport,"Getafe Air Base",40.29410171508789,-3.723829984664917,2031,EU,Spain,ES,"Madrid (community)",ES-MD,MD,Getafe,0,LEGT,,,,https://en.wikipedia.org/wiki/Getafe_Air_Base,,300,2009-03-10T12:41:44+00:00
321583,ES-0202,small_airport,"Aeródromo de Garrucha",37.197959,-1.830627,52,EU,Spain,ES,Andalucía,ES-AN,AN,,0,,,,,,,50,2018-07-08T11:15:06+00:00
321361,ES-0145,small_airport,"Aeródromo Coscojuela de Sobrarbe",42.3487,0.18613,1788,EU,Spain,ES,Aragón,ES-AR,AR,Ainsa,0,,,,,,,50,2016-12-02T01:13:13+00:00
320729,ES-0093,small_airport,"Alcalá de la Jovada Airstrip",38.786611,-0.231057,,EU,Spain,ES,"Valencia (community)",ES-VC,VC,"Alcalá de la Jovada",0,,,,,,,50,2022-09-09T20:20:11+00:00
320424,ES-0059,small_airport,"Binissalem Airfield",39.68105,2.877281,361,EU,Spain,ES,"Islas Baleares",ES-IB,IB,Binissalem,0,LEIS,,,,,,50,2023-08-11T07:56:17+00:00
43246,LEPI,small_airport,"Casas de los Pinos Airfield",39.298199,-2.37872,2370,EU,Spain,ES,"Castilla–La Mancha",ES-CM,CM,"Casas de los Pinos",0,LEPI,,,,https://es.wikipedia.org/wiki/Aer%C3%B3dromo_de_Casas_de_los_Pinos,,50,2024-01-03T04:39:30+00:00
320689,ES-0086,small_airport,"Cocoll Firefighting Airstrip",38.73217,-0.144053,3019,EU,Spain,ES,"Valencia (community)",ES-VC,VC,"Castell de Castells",0,,,,,,,50,2022-09-09T20:18:36+00:00
321476,ES-0176,small_airport,"Aeródromo de Guadalix de la SIerra",40.7848296,-3.6397313,2756,EU,Spain,ES,"Madrid (community)",ES-MD,MD,"El Vellón",0,,,,,,,50,2016-12-12T00:01:25+00:00
321508,ES-0181,small_airport,"Aeródromo de Fuente Obejuna",38.281802,-5.40184,1742,EU,Spain,ES,Andalucía,ES-AN,AN,"Fuente Obejuna",0,LEFU,,,,,"Ela Aviación",50,2024-08-11T21:36:41+00:00
43283,LEMF,small_airport,"Mafé - Gibraleón Airfield",37.3643,-6.92094,86,EU,Spain,ES,Andalucía,ES-AN,AN,Gibraleón,0,LEMF,,,,,,50,2021-04-18T07:28:16+00:00
43262,LEGU,small_airport,"Aeródromo de Guadalupe",39.345699,-5.19735,1408,EU,Spain,ES,Extremadura,ES-EX,EX,Guadalupe,0,LEGU,,,,,,50,2017-01-03T01:53:00+00:00
30367,LECI,small_airport,"Santa Cilia De Jaca Airfield",42.569199,-0.727778,2241,EU,Spain,ES,Aragón,ES-AR,AR,Huesca,0,LECI,,,http://www.fly-pyr.es,https://es.wikipedia.org/wiki/Aer%C3%B3dromo_de_Santa_Cilia-Los_Pirineos,,50,2024-05-17T04:04:37+00:00
4002,LEBE,small_airport,"Beas De Segura Airfield",38.271111,-2.948889,1780,EU,Spain,ES,Andalucía,ES-AN,AN,Jaén,0,LEBE,,,https://www.aerodromodebeasdesegura.com/,https://es.wikipedia.org/wiki/Aer%C3%B3dromo_de_Beas_de_Segura,,50,2024-05-16T09:53:06+00:00
321509,ES-0182,small_airport,"Aeródromo de Jaen - Las Infantas",37.908577,-3.800161,1034,EU,Spain,ES,Andalucía,ES-AN,AN,Jaen,0,,,,,,,50,2016-12-14T05:44:22+00:00
2641,LE84,small_airport,"Jayena Airfield",36.930698,-3.83538,3654,EU,Spain,ES,Andalucía,ES-AN,AN,Jayena,0,,,,,,,50,2017-10-22T01:29:35+00:00
43254,LECT,small_airport,"El Castaño Airfield",39.013604,-4.387141,2116,EU,Spain,ES,"Castilla–La Mancha",ES-CM,CM,Luciana,0,LECT,,,,https://es.wikipedia.org/wiki/Aer%C3%B3dromo_de_El_Casta%C3%B1o,,50,2024-01-05T04:11:32+00:00
320777,ES-0105,small_airport,"Aeródromo de Lumbier",42.66565,-1.302383,1575,EU,Spain,ES,Navarra,ES-NC,NC,Lumbier,0,LEUM,,,http://www.pyrineum.com,,"Vuelo Lumbier,Gyro Club Pamplona",50,2019-08-20T01:21:43+00:00
321601,ES-0204,small_airport,"Mollerussa UL",41.6122017,0.8541227,984,EU,Spain,ES,Catalonia,ES-CT,CT,Mollerussa,0,,,,http://www.clubaeri.net/,,,50,2016-12-23T02:38:42+00:00
29967,LEHC,small_airport,"Huesca-Pirineos Airport",42.076099,-0.316667,1769,EU,Spain,ES,Aragón,ES-AR,AR,"Monflorite/Alcalá del Obispo",0,LEHC,HSK,,https://www.aena.es/en/huesca-pirineos.html,https://en.wikipedia.org/wiki/Huesca%E2%80%93Pirineos_Airport,"Huesca-Pirineos, Huesca-Pyrenees",50,2021-10-07T11:18:59+00:00
320423,ES-0058,small_airport,"Vilafranca de Bonany-Es cruce Airfield (Aerodromo Mallorca)",39.576801,3.124647,233,EU,Spain,ES,"Islas Baleares",ES-IB,IB,"Petra Pep Mercader",0,LEPT,,,,,,50,2022-12-15T05:16:56+00:00
314988,ES-0015,small_airport,"Pozo Cañada Airfield",38.798137,-1.726842,2700,EU,Spain,ES,"Castilla–La Mancha",ES-CM,CM,"Pozo Cañada",0,,,,,,,50,2021-03-10T00:31:45+00:00
4029,LERM,small_airport,"Robledillo De Mohernando Airfield",40.865299,-3.24778,3097,EU,Spain,ES,"Castilla–La Mancha",ES-CM,CM,"Robledillo De Mohernando",0,LERM,,,,https://es.wikipedia.org/wiki/Aer%C3%B3dromo_de_Robledillo_de_Mohernando,,50,2024-05-16T10:11:00+00:00
316063,ES-0035,small_airport,"Aeroclub Mar Menor",37.845278,-0.881111,289,EU,Spain,ES,"Murcia (region)",ES-MC,MC,"San Javier",0,LELG,,,,,"Los Garranchos",50,2018-03-23T08:42:51+00:00
4008,LEFM,small_airport,"Fuentemilanos Airfield",40.889137,-4.240165,3307,EU,Spain,ES,"Castilla y León",ES-CL,CL,Segovia,0,LEFM,,,,http://es.wikipedia.org/wiki/Aer%C3%B3dromo_de_Fuentemilanos,,50,2024-01-02T12:22:58+00:00
43235,LEGC,small_airport,"Altarejos-Guadalcanal Private Airfield",38.1717,-5.73953,1928,EU,Spain,ES,Andalucía,ES-AN,AN,Sevilla,0,LEGC,,,,,,50,2020-04-05T04:46:47+00:00
4014,LEIZ,small_airport,"La Perdiz - Torre De Juan Abad Airfield",38.5131,-3.36433,2753,EU,Spain,ES,"Castilla–La Mancha",ES-CM,CM,"Torre de Juan Abad",0,LEIZ,,,,https://es.wikipedia.org/wiki/Aer%C3%B3dromo_de_La_Perdiz,,50,2024-05-16T09:59:21+00:00
320628,ES-0081,small_airport,"Aeródromo de Utrera",37.153417,-5.798882,131,EU,Spain,ES,Andalucía,ES-AN,AN,Utrera,0,LEUT,,,,,,50,2020-04-05T04:45:27+00:00
321660,ES-0212,small_airport,"Hacienda de Orán",37.2000414,-5.8808531,72,EU,Spain,ES,Andalucía,ES-AN,AN,Utrero,0,,,,,,,50,2016-12-31T03:47:23+00:00
43286,LETC,small_airport,"Matilla De Los Caños Airfield",41.530602,-4.925,2300,EU,Spain,ES,"Castilla y León",ES-CL,CL,Valladolid,0,LETC,,,,https://es.wikipedia.org/wiki/Aer%C3%B3dromo_de_Matilla_de_los_Ca%C3%B1os,,50,2024-05-16T10:13:26+00:00
